iter	Passed	Remaining
902	5765	619
903	5773	613
904	5779	606
905	5786	600
906	5793	594
907	5800	587
908	5806	581
909	5813	574
910	5818	568
911	5824	562
912	5830	555
913	5837	549
914	5844	542
915	5851	536
916	5858	530
917	5864	523
918	5869	517
919	5875	510
920	5886	504
921	5893	498
922	5900	492
923	5907	485
924	5913	479
925	5927	473
926	5936	467
927	5942	461
928	5948	454
929	5955	448
930	5961	441
931	5971	435
932	5984	429
933	5991	423
934	5998	416
935	6004	410
936	6010	404
937	6021	397
938	6031	391
939	6037	385
940	6044	378
941	6051	372
942	6058	366
943	6067	359
944	6075	353
945	6082	347
946	6088	340
947	6094	334
948	6100	327
949	6106	321
950	6112	314
951	6119	308
952	6126	302
953	6133	295
954	6139	289
955	6145	282
956	6151	276
957	6156	269
958	6163	263
959	6171	257
960	6178	250
961	6185	244
962	6192	237
963	6198	231
964	6204	225
965	6210	218
966	6217	212
967	6224	205
968	6231	199
969	6238	192
970	6245	186
971	6252	180
972	6259	173
973	6266	167
974	6272	160
975	6278	154
976	6284	147
977	6290	141
978	6297	135
979	6303	128
980	6310	122
981	6317	115
982	6323	109
983	6330	102
984	6335	96
985	6341	90
986	6347	83
987	6353	77
988	6359	70
989	6366	64
990	6372	57
991	6379	51
992	6386	45
993	6392	38
994	6398	32
995	6405	25
996	6412	19
997	6418	12
998	6424	6
999	6430	0
